06:47:53 [INFO] pixel (14, 20)  terminal (14, 10)
06:47:53 [INFO] pixel (14, 21)  terminal (14, 10)
06:47:53 [INFO] pixel (15, 21)  terminal (15, 10)
06:47:53 [INFO] pixel (15, 21)  terminal (15, 10)
06:47:53 [INFO] pixel (15, 22)  terminal (15, 11)
06:47:53 [INFO] pixel (16, 22)  terminal (16, 11)
06:47:54 [INFO] pixel (16, 22)  terminal (16, 11)
06:47:54 [INFO] pixel (17, 22)  terminal (17, 11)
06:47:54 [INFO] pixel (17, 22)  terminal (17, 11)
06:47:54 [INFO] pixel (18, 22)  terminal (18, 11)
06:47:54 [INFO] pixel (18, 21)  terminal (18, 10)
06:47:54 [INFO] pixel (19, 21)  terminal (19, 10)
06:47:54 [INFO] pixel (19, 20)  terminal (19, 10)
06:47:54 [INFO] pixel (19, 20)  terminal (19, 10)
06:47:54 [INFO] pixel (19, 21)  terminal (19, 10)
06:47:55 [INFO] pixel (18, 21)  terminal (18, 10)
06:47:55 [INFO] pixel (17, 21)  terminal (17, 10)
06:47:55 [INFO] pixel (17, 21)  terminal (17, 10)
06:47:55 [INFO] pixel (17, 20)  terminal (17, 10)
06:47:55 [INFO] pixel (18, 20)  terminal (18, 10)
06:47:55 [INFO] pixel (18, 19)  terminal (18, 9)
06:48:00 [INFO] Started tui app
